date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Life-saving food, cash and livelihoods assistance to vulnerable households in Deir Al Balah and Gaza City governorates
Project Start Date: 2025-10-13 - Project End Date: 2026-04-12
Project Code: CBPF-OPT-25-R-NGO-37658
Emergency Type: Conflict - Displacement",177000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Youth Vision Society,NGOs,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2025-10-10,2025-10-13,,,,,364551,CBPF-OPT-25-R-NGO-37658,2025-10-17,2025-10-17
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Life-saving food, cash and livelihoods assistance to vulnerable households in Deir Al Balah and Gaza City governorates
Project Start Date: 2025-10-13 - Project End Date: 2026-04-12
Project Code: CBPF-OPT-25-R-NGO-37658
Emergency Type: Conflict - Displacement",323000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Youth Vision Society,NGOs,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-10,2025-10-13,,,,,364552,CBPF-OPT-25-R-NGO-37658,2025-10-17,2025-10-17
2025-10-14,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Improved access to essential health services for the affected population in Deir el Balah.
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37670
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-03,2025-10-10,,,,,364147,CBPF-OPT-25-R-INGO-37670,2025-10-16,2025-10-16
2025-10-14,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Improved access to essential health services for the affected population in Deir el Balah.
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37670
Emergency Type: Conflict - Displacement",500000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-03,2025-10-10,,,,,364148,CBPF-OPT-25-R-INGO-37670,2025-10-16,2025-10-16
2025-10-14,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Improving nutritional outcomes for households in high nutritional risk throughout Gaza
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37673
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-03,2025-10-10,,,,,364149,CBPF-OPT-25-R-INGO-37673,2025-10-16,2025-10-16
2025-10-14,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Improving nutritional outcomes for households in high nutritional risk throughout Gaza
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37673
Emergency Type: Conflict - Displacement",500000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-03,2025-10-10,,,,,364150,CBPF-OPT-25-R-INGO-37673,2025-10-16,2025-10-16
2025-10-14,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Ensuring rapid access to safe water, sanitation and hygiene services for vulnerable communities in Gaza, through water trucking, distribution of WASH
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37675
Emergency Type: Conflict - Violence/clashes",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-03,2025-10-10,,,,,364151,CBPF-OPT-25-R-INGO-37675,2025-10-16,2025-10-16
2025-10-14,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Ensuring rapid access to safe water, sanitation and hygiene services for vulnerable communities in Gaza, through water trucking, distribution of WASH
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37675
Emergency Type: Conflict - Violence/clashes",750000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,Water Sanitation Hygiene,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-03,2025-10-10,,,,,364152,CBPF-OPT-25-R-INGO-37675,2025-10-16,2025-10-16
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Restoring Shelter Safety and Dignity: Integrated Emergency Shelter, NFI, and Technical Support for Displaced and Returning Households in Gaza City and Khan Younis
Project Start Date: 2025-10-08 - Project End Date: 2026-06-07
Project Code: CBPF-OPT-25-R-NGO-37637
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Palestinian Housing Council,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-02,2025-10-03,,,,,363745,CBPF-OPT-25-R-NGO-37637,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Restoring Shelter Safety and Dignity: Integrated Emergency Shelter, NFI, and Technical Support for Displaced and Returning Households in Gaza City and Khan Younis
Project Start Date: 2025-10-08 - Project End Date: 2026-06-07
Project Code: CBPF-OPT-25-R-NGO-37637
Emergency Type: Conflict - Displacement",100000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Palestinian Housing Council,NGOs,Emergency Shelter and NFI,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2025-10-02,2025-10-03,,,,,363746,CBPF-OPT-25-R-NGO-37637,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Restoring Shelter Safety and Dignity: Integrated Emergency Shelter, NFI, and Technical Support for Displaced and Returning Households in Gaza City and Khan Younis
Project Start Date: 2025-10-08 - Project End Date: 2026-06-07
Project Code: CBPF-OPT-25-R-NGO-37637
Emergency Type: Conflict - Displacement",500000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Palestinian Housing Council,NGOs,Emergency Shelter and NFI,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-02,2025-10-03,,,,,363747,CBPF-OPT-25-R-NGO-37637,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Strengthening the nutritional resilience of infants, young children, pregnant and lactating women in crises situations.
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37607
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Save the Children,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-02,2025-10-08,,,,,363969,CBPF-OPT-25-R-INGO-37607,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Strengthening the nutritional resilience of infants, young children, pregnant and lactating women in crises situations.
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37607
Emergency Type: Conflict - Displacement",250000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Save the Children,NGOs,Nutrition,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-02,2025-10-08,,,,,363970,CBPF-OPT-25-R-INGO-37607,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Emergency life-saving WASH services to conflict affected communities, returnees and new IDPs in the Gaza Strip.
Project Start Date: 2025-10-09 - Project End Date: 2026-04-08
Project Code: CBPF-OPT-25-R-INGO-37610
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363971,CBPF-OPT-25-R-INGO-37610,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Emergency life-saving WASH services to conflict affected communities, returnees and new IDPs in the Gaza Strip.
Project Start Date: 2025-10-09 - Project End Date: 2026-04-08
Project Code: CBPF-OPT-25-R-INGO-37610
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",500000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,Water Sanitation Hygiene,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363972,CBPF-OPT-25-R-INGO-37610,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
48 hr Anticipatory Food Security Response for Vulnerable Households in Gaza -ESDC
Project Start Date: 2025-10-09 - Project End Date: 2026-04-08
Project Code: CBPF-OPT-25-R-INGO-37613
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363973,CBPF-OPT-25-R-INGO-37613,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
48 hr Anticipatory Food Security Response for Vulnerable Households in Gaza -ESDC
Project Start Date: 2025-10-09 - Project End Date: 2026-04-08
Project Code: CBPF-OPT-25-R-INGO-37613
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",450000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363974,CBPF-OPT-25-R-INGO-37613,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
48 hr-Anticipatory Action for Food Security: Cultivating Resilience in Gaza- PARC
Project Start Date: 2025-10-09 - Project End Date: 2026-04-08
Project Code: CBPF-OPT-25-R-INGO-37614
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363975,CBPF-OPT-25-R-INGO-37614,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
48 hr-Anticipatory Action for Food Security: Cultivating Resilience in Gaza- PARC
Project Start Date: 2025-10-09 - Project End Date: 2026-04-08
Project Code: CBPF-OPT-25-R-INGO-37614
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",450000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363976,CBPF-OPT-25-R-INGO-37614,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Rapid Emergency WASH Response for Displaced Households in Gaza Strip
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37655
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Save the Children,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-02,2025-10-08,,,,,363977,CBPF-OPT-25-R-INGO-37655,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Rapid Emergency WASH Response for Displaced Households in Gaza Strip
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37655
Emergency Type: Conflict - Displacement",500000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Save the Children,NGOs,Water Sanitation Hygiene,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-02,2025-10-08,,,,,363978,CBPF-OPT-25-R-INGO-37655,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Urgent Multipurpose Cash Assistance for Displaced and Vulnerable Households to Meet Critical
Needs in the Gaza Strip.
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37657
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Save the Children,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-02,2025-10-08,,,,,363979,CBPF-OPT-25-R-INGO-37657,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Urgent Multipurpose Cash Assistance for Displaced and Vulnerable Households to Meet Critical
Needs in the Gaza Strip.
Project Start Date: 2025-10-06 - Project End Date: 2026-04-05
Project Code: CBPF-OPT-25-R-INGO-37657
Emergency Type: Conflict - Displacement",700000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Save the Children,NGOs,Multipurpose Cash,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2025-10-02,2025-10-08,,,,,363980,CBPF-OPT-25-R-INGO-37657,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Rapid Multi-Purpose Cash Transfers for Immediate Relief of Vulnerable Households Affected by Displacement in Gaza Strip
Project Start Date: 2025-10-05 - Project End Date: 2026-04-04
Project Code: CBPF-OPT-25-R-NGO-37611
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Agriculture Development Association,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363981,CBPF-OPT-25-R-NGO-37611,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Rapid Multi-Purpose Cash Transfers for Immediate Relief of Vulnerable Households Affected by Displacement in Gaza Strip
Project Start Date: 2025-10-05 - Project End Date: 2026-04-04
Project Code: CBPF-OPT-25-R-NGO-37611
Emergency Type: Conflict - Displacement",505126,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,,,Multipurpose Cash,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2025-10-06,2025-10-08,,,,,363982,CBPF-OPT-25-R-NGO-37611,2025-10-12,2025-10-13
2025-10-09,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Urgent Support for war affected people through providing them by food assistance and implementing small gardens initiatives
Project Start Date: 2025-10-05 - Project End Date: 2026-04-04
Project Code: CBPF-OPT-25-R-NGO-37624
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Union of Agricultural Work Committees,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-06,2025-10-08,,,,,363983,CBPF-OPT-25-R-NGO-37624,2025-10-12,2025-10-13
